,category,message
1,Larceny/Theft,"ROBBERY, BODILY FORCE"
2,Violence/Homicide,AGGRAVATED ASSAULT WITH BODILY FORCE
3,Violence/Homicide,DOMESTIC VIOLENCE
8,Larceny/Theft,"BURGLARY OF STORE, UNLAWFUL ENTRY"
9,Larceny/Theft,PETTY THEFT SHOPLIFTING
11,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE
12,Drug/Narcotics,POSSESSION OF NARCOTICS PARAPHERNALIA
14,Larceny/Theft,"ROBBERY, ARMED WITH A KNIFE"
15,Larceny/Theft,STOLEN AUTOMOBILE
18,Larceny/Theft,PETTY THEFT FROM LOCKED AUTO
19,Traffic Violation,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
20,Larceny/Theft,"ROBBERY ON THE STREET, STRONGARM"
24,Violence/Homicide,BATTERY WITH SERIOUS INJURIES
25,Larceny/Theft,ATTEMPTED ROBBERY WITH A DEADLY WEAPON
27,Violence/Homicide,POSS OF TEAR GAS WEAPON
29,Traffic Violation,TRAFFIC VIOLATION
30,Violence/Homicide,BATTERY OF A POLICE OFFICER
31,Violence/Homicide,ARSON
32,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE FOR SALE
35,Larceny/Theft,GRAND THEFT FROM LOCKED AUTO
37,Kidnapping,MISSING ADULT
38,Kidnapping,FOUND PERSON
41,Violence/Homicide,CARRYING A CONCEALED WEAPON
51,Larceny/Theft,TAMPERING WITH A VEHICLE
53,Larceny/Theft,POSSESSION OF BURGLARY TOOLS
54,Larceny/Theft,GRAND THEFT FROM PERSON
57,Violence/Homicide,STALKING
58,Mental Health/Bullying,HARASSING PHONE CALLS
60,Traffic Violation,TRAFFIC VIOLATION ARREST
62,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
70,Violence/Homicide,BATTERY
75,Larceny/Theft,PETTY THEFT FROM UNLOCKED AUTO
77,Larceny/Theft,"BURGLARY, UNLAWFUL ENTRY"
84,Larceny/Theft,GRAND THEFT OF PROPERTY
85,Larceny/Theft,"VEHICLE, RECOVERED, AUTO"
90,Drug/Narcotics,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
91,Violence/Homicide,THREATENING SCHOOL OR PUBLIC EMPLOYEE
97,Larceny/Theft,PETTY THEFT FROM A BUILDING
98,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
99,Drug/Narcotics,POSSESSION OF MARIJUANA
108,Violence/Homicide,JUVENILE INVOLVED
112,Violence/Homicide,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
113,Larceny/Theft,STOLEN TRUCK
117,Violence/Homicide,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
122,Violence/Homicide,AGGRAVATED ASSAULT WITH A KNIFE
126,Violence/Homicide,POSSESSION OF AIR GUN
127,Larceny/Theft,"ROBBERY, ARMED WITH A GUN"
134,Violence/Homicide,CHILD ABUSE (PHYSICAL)
143,Larceny/Theft,"ROBBERY, ARMED WITH A DANGEROUS WEAPON"
146,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY"
148,Larceny/Theft,GRAND THEFT FROM A BUILDING
156,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE
158,Larceny/Theft,RECOVERED VEHICLE - STOLEN OUTSIDE SF
165,Violence/Homicide,ATM RELATED CRIME
171,Larceny/Theft,"BURGLARY OF STORE, FORCIBLE ENTRY"
172,Violence/Homicide,DISTURBING THE PEACE
189,Violence/Homicide,EXHIBITING DEADLY WEAPON IN A THREATING MANNER
197,Larceny/Theft,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY"
198,Larceny/Theft,ATTEMPTED THEFT FROM LOCKED VEHICLE
202,Larceny/Theft,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY"
206,Larceny/Theft,"BURGLARY, FORCIBLE ENTRY"
211,Sex Offences,"FORCIBLE RAPE, BODILY FORCE"
213,Larceny/Theft,"LICENSE PLATE OR TAB, THEFT OF"
214,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"
222,Traffic Violation,LOST/STOLEN LICENSE PLATE
225,Violence/Homicide,ARSON OF AN INHABITED DWELLING
231,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY"
233,Larceny/Theft,THEFT FROM MERCHANT OR LIBRARY
236,Violence/Homicide,INFLICT INJURY ON COHABITEE
238,Kidnapping,FALSE IMPRISONMENT
244,Violence/Homicide,GANG ACTIVITY
257,Violence/Homicide,THREATS AGAINST LIFE
261,Larceny/Theft,GRAND THEFT FROM UNLOCKED AUTO
283,Larceny/Theft,GRAND THEFT SHOPLIFTING
288,Violence/Homicide,ARSON OF A VEHICLE
297,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH BODILY FORCE
298,Larceny/Theft,PETTY THEFT BICYCLE
300,Violence/Homicide,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
305,Larceny/Theft,PETTY THEFT OF PROPERTY
317,Larceny/Theft,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
322,Violence/Homicide,SUSPICIOUS PACKAGE
349,Violence/Homicide,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
365,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY"
379,Larceny/Theft,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY"
421,Violence/Homicide,DISCHARGE FIREARM WITHIN CITY LIMITS
425,Drug/Narcotics,MISCELLANEOUS LIQOUR LAW VIOLATION
434,Larceny/Theft,"THEFT, DRUNK ROLL, <$50"
442,Larceny/Theft,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY"
465,Larceny/Theft,"BURGLARY, HOT PROWL, FORCIBLE ENTRY"
478,Drug/Narcotics,LOITERING WHERE NARCOTICS ARE SOLD/USED
480,Larceny/Theft,ROBBERY ON THE STREET WITH A GUN
506,Sex Offences,SEXUAL BATTERY
522,Violence/Homicide,DISCHARGING IN GROSSLY NEGLIGENT MANNER
534,Traffic Violation,FALSE EVIDENCE OF VEHICLE REGISTRATION
536,Drug/Narcotics,UNLAWFUL TRANSPORTATION OF ALCOHOL
572,Violence/Homicide,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE
574,Violence/Homicide,POSS OF LOADED FIREARM
581,Violence/Homicide,FIREARM POSSESSION IN SCHOOL ZONE
584,Mental Health/Bullying,OBSTRUCTING PUBLIC THOROUGHFARE
593,Larceny/Theft,GRAND THEFT BICYCLE
612,Violence/Homicide,"WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS"
617,Larceny/Theft,GRAND THEFT PICKPOCKET
627,Violence/Homicide,THREATENING PHONE CALL(S)
632,Larceny/Theft,STOLEN AND RECOVERED VEHICLE
642,Larceny/Theft,ATTEMPTED THEFT FROM A BUILDING
653,Violence/Homicide,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER
657,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY"
682,Larceny/Theft,"LOST PROPERTY, PETTY THEFT"
685,Larceny/Theft,STOLEN MOTORCYCLE
688,Violence/Homicide,COMMITTING PUBLIC NUISANCE
732,Larceny/Theft,PETTY THEFT AUTO STRIP
762,Kidnapping,"KIDNAPPING, JUVENILE VICTIM"
763,Kidnapping,MISSING JUVENILE
772,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE FOR SALE
811,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY"
819,Sex Offences,"ORAL COPULATION, UNLAWFUL (ADULT VICTIM)"
830,Violence/Homicide,POSS OF PROHIBITED WEAPON
848,Violence/Homicide,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE"
864,Drug/Narcotics,POSSESSION OF HEROIN
865,Violence/Homicide,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE"
905,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE"
907,Violence/Homicide,"FIREARM, DISCHARGING AT OCCUPIED BLDG, VEHICLE, OR AIRCRAFT"
908,Drug/Narcotics,POSSESSION OF MARIJUANA FOR SALES
915,Larceny/Theft,"BURGLARY, VEHICLE (ARREST MADE)"
932,Sex Offences,SODOMY (ADULT VICTIM)
939,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
947,Sex Offences,FAILURE TO REGISTER AS SEX OFFENDER
948,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE
962,Violence/Homicide,ATTEMPTED HOMICIDE WITH A GUN
971,Larceny/Theft,ATTEMPTED ROBBERY WITH A GUN
1069,Violence/Homicide,"DISTURBING THE PEACE, COMMOTION"
1143,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN
1188,Drug/Narcotics,POSSESSION OF COCAINE
1233,Larceny/Theft,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM"
1311,Violence/Homicide,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION"
1314,Violence/Homicide,LOCATED EXPLOSIVE DEVICE
1339,Violence/Homicide,FIREARM WITH ALTERED IDENTIFICATION
1348,Violence/Homicide,VIOLATION OF RESTRICTIONS ON A FIREARM TRANSFER
1350,Violence/Homicide,TAMPERING WITH MARKS ON FIREARM
1352,Violence/Homicide,"AMMUNITION, POSS. BY PROHIBITED PERSON"
1354,Drug/Narcotics,POSSESSION OF COCAINE FOR SALES
1401,Larceny/Theft,"BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY"
1404,Violence/Homicide,ATTEMPTED HOMICIDE WITH A KNIFE
1424,Larceny/Theft,THEFT OF CHECKS OR CREDIT CARDS
1488,Larceny/Theft,STOLEN MISCELLANEOUS VEHICLE
1496,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE
1499,Larceny/Theft,ATTEMPTED THEFT FROM UNLOCKED VEHICLE
1519,Sex Offences,CHILD ABUSE SEXUAL
1520,Sex Offences,SODOMY
1549,Drug/Narcotics,SALE OF BASE/ROCK COCAINE
1576,Larceny/Theft,"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY"
1579,Larceny/Theft,"ROBBERY,  ATM, FORCE, ATT."
1648,Mental Health/Bullying,OBSCENE PHONE CALLS(S)
1654,Larceny/Theft,THEFT OF COMPUTERS OR CELL PHONES
1668,Violence/Homicide,ATTEMPTED HOMICIDE WITH BODILY FORCE
1670,Drug/Narcotics,POSSESSION OF HEROIN FOR SALES
1671,Drug/Narcotics,POSSESSION OF OPIATES FOR SALES
1675,Larceny/Theft,ATTEMPTED ROBBERY WITH BODILY FORCE
1699,Violence/Homicide,ASSAULT WITH CAUSTIC CHEMICALS
1737,Larceny/Theft,CARJACKING WITH A DANGEROUS WEAPON
1792,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY"
1852,Larceny/Theft,"BURGLARY OF FLAT, UNLAWFUL ENTRY"
1883,Kidnapping,CHILD STEALING
1911,Larceny/Theft,ROBBERY ON THE STREET WITH A KNIFE
1912,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON
1998,Larceny/Theft,PETTY THEFT WITH PRIOR
2085,Drug/Narcotics,POSSESSION OF METHADONE
2105,Violence/Homicide,"ASSAULT, AGGRAVATED, W/ GUN"
2197,Sex Offences,"CHILD ABUSE, PORNOGRAPHY"
2217,Violence/Homicide,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
