,Unnamed: 0,category,message
0,1.0,Larceny/Theft,"ROBBERY, BODILY FORCE"
1,2.0,Violence/Homicide,AGGRAVATED ASSAULT WITH BODILY FORCE
2,3.0,Violence/Homicide,DOMESTIC VIOLENCE
3,8.0,Larceny/Theft,"BURGLARY OF STORE, UNLAWFUL ENTRY"
4,9.0,Larceny/Theft,PETTY THEFT SHOPLIFTING
5,11.0,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE
6,12.0,Drug/Narcotics,POSSESSION OF NARCOTICS PARAPHERNALIA
7,14.0,Larceny/Theft,"ROBBERY, ARMED WITH A KNIFE"
8,15.0,Larceny/Theft,STOLEN AUTOMOBILE
9,18.0,Larceny/Theft,PETTY THEFT FROM LOCKED AUTO
10,19.0,Traffic Violation,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
11,20.0,Larceny/Theft,"ROBBERY ON THE STREET, STRONGARM"
12,24.0,Violence/Homicide,BATTERY WITH SERIOUS INJURIES
13,25.0,Larceny/Theft,ATTEMPTED ROBBERY WITH A DEADLY WEAPON
14,27.0,Violence/Homicide,POSS OF TEAR GAS WEAPON
15,29.0,Traffic Violation,TRAFFIC VIOLATION
16,30.0,Violence/Homicide,BATTERY OF A POLICE OFFICER
17,31.0,Violence/Homicide,ARSON
18,32.0,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE FOR SALE
19,35.0,Larceny/Theft,GRAND THEFT FROM LOCKED AUTO
20,37.0,Kidnapping,MISSING ADULT
21,38.0,Kidnapping,FOUND PERSON
22,41.0,Violence/Homicide,CARRYING A CONCEALED WEAPON
23,51.0,Larceny/Theft,TAMPERING WITH A VEHICLE
24,53.0,Larceny/Theft,POSSESSION OF BURGLARY TOOLS
25,54.0,Larceny/Theft,GRAND THEFT FROM PERSON
26,57.0,Violence/Homicide,STALKING
27,58.0,Mental Health/Bullying,HARASSING PHONE CALLS
28,60.0,Traffic Violation,TRAFFIC VIOLATION ARREST
29,62.0,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
30,70.0,Violence/Homicide,BATTERY
31,75.0,Larceny/Theft,PETTY THEFT FROM UNLOCKED AUTO
32,77.0,Larceny/Theft,"BURGLARY, UNLAWFUL ENTRY"
33,84.0,Larceny/Theft,GRAND THEFT OF PROPERTY
34,85.0,Larceny/Theft,"VEHICLE, RECOVERED, AUTO"
35,90.0,Drug/Narcotics,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
36,91.0,Violence/Homicide,THREATENING SCHOOL OR PUBLIC EMPLOYEE
37,97.0,Larceny/Theft,PETTY THEFT FROM A BUILDING
38,98.0,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
39,99.0,Drug/Narcotics,POSSESSION OF MARIJUANA
40,108.0,Violence/Homicide,JUVENILE INVOLVED
41,112.0,Violence/Homicide,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
42,113.0,Larceny/Theft,STOLEN TRUCK
43,117.0,Violence/Homicide,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
44,122.0,Violence/Homicide,AGGRAVATED ASSAULT WITH A KNIFE
45,126.0,Violence/Homicide,POSSESSION OF AIR GUN
46,127.0,Larceny/Theft,"ROBBERY, ARMED WITH A GUN"
47,134.0,Violence/Homicide,CHILD ABUSE (PHYSICAL)
48,143.0,Larceny/Theft,"ROBBERY, ARMED WITH A DANGEROUS WEAPON"
49,146.0,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY"
50,148.0,Larceny/Theft,GRAND THEFT FROM A BUILDING
51,156.0,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE
52,158.0,Larceny/Theft,RECOVERED VEHICLE - STOLEN OUTSIDE SF
53,165.0,Violence/Homicide,ATM RELATED CRIME
54,171.0,Larceny/Theft,"BURGLARY OF STORE, FORCIBLE ENTRY"
55,172.0,Violence/Homicide,DISTURBING THE PEACE
56,189.0,Violence/Homicide,EXHIBITING DEADLY WEAPON IN A THREATING MANNER
57,197.0,Larceny/Theft,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY"
58,198.0,Larceny/Theft,ATTEMPTED THEFT FROM LOCKED VEHICLE
59,202.0,Larceny/Theft,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY"
60,206.0,Larceny/Theft,"BURGLARY, FORCIBLE ENTRY"
61,211.0,Sex Offences,"FORCIBLE RAPE, BODILY FORCE"
62,213.0,Larceny/Theft,"LICENSE PLATE OR TAB, THEFT OF"
63,214.0,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"
64,222.0,Traffic Violation,LOST/STOLEN LICENSE PLATE
65,225.0,Violence/Homicide,ARSON OF AN INHABITED DWELLING
66,231.0,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY"
67,233.0,Larceny/Theft,THEFT FROM MERCHANT OR LIBRARY
68,236.0,Violence/Homicide,INFLICT INJURY ON COHABITEE
69,238.0,Kidnapping,FALSE IMPRISONMENT
70,244.0,Violence/Homicide,GANG ACTIVITY
71,257.0,Violence/Homicide,THREATS AGAINST LIFE
72,261.0,Larceny/Theft,GRAND THEFT FROM UNLOCKED AUTO
73,283.0,Larceny/Theft,GRAND THEFT SHOPLIFTING
74,288.0,Violence/Homicide,ARSON OF A VEHICLE
75,297.0,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH BODILY FORCE
76,298.0,Larceny/Theft,PETTY THEFT BICYCLE
77,300.0,Violence/Homicide,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
78,305.0,Larceny/Theft,PETTY THEFT OF PROPERTY
79,317.0,Larceny/Theft,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
80,322.0,Violence/Homicide,SUSPICIOUS PACKAGE
81,349.0,Violence/Homicide,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
82,365.0,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY"
83,379.0,Larceny/Theft,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY"
84,421.0,Violence/Homicide,DISCHARGE FIREARM WITHIN CITY LIMITS
85,425.0,Drug/Narcotics,MISCELLANEOUS LIQOUR LAW VIOLATION
86,434.0,Larceny/Theft,"THEFT, DRUNK ROLL, <$50"
87,442.0,Larceny/Theft,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY"
88,465.0,Larceny/Theft,"BURGLARY, HOT PROWL, FORCIBLE ENTRY"
89,478.0,Drug/Narcotics,LOITERING WHERE NARCOTICS ARE SOLD/USED
90,480.0,Larceny/Theft,ROBBERY ON THE STREET WITH A GUN
91,506.0,Sex Offences,SEXUAL BATTERY
92,522.0,Violence/Homicide,DISCHARGING IN GROSSLY NEGLIGENT MANNER
93,534.0,Traffic Violation,FALSE EVIDENCE OF VEHICLE REGISTRATION
94,536.0,Drug/Narcotics,UNLAWFUL TRANSPORTATION OF ALCOHOL
95,572.0,Violence/Homicide,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE
96,574.0,Violence/Homicide,POSS OF LOADED FIREARM
97,581.0,Violence/Homicide,FIREARM POSSESSION IN SCHOOL ZONE
98,584.0,Mental Health/Bullying,OBSTRUCTING PUBLIC THOROUGHFARE
99,593.0,Larceny/Theft,GRAND THEFT BICYCLE
100,612.0,Violence/Homicide,"WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS"
101,617.0,Larceny/Theft,GRAND THEFT PICKPOCKET
102,627.0,Violence/Homicide,THREATENING PHONE CALL(S)
103,632.0,Larceny/Theft,STOLEN AND RECOVERED VEHICLE
104,642.0,Larceny/Theft,ATTEMPTED THEFT FROM A BUILDING
105,653.0,Violence/Homicide,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER
106,657.0,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY"
107,682.0,Larceny/Theft,"LOST PROPERTY, PETTY THEFT"
108,685.0,Larceny/Theft,STOLEN MOTORCYCLE
109,688.0,Violence/Homicide,COMMITTING PUBLIC NUISANCE
110,732.0,Larceny/Theft,PETTY THEFT AUTO STRIP
111,762.0,Kidnapping,"KIDNAPPING, JUVENILE VICTIM"
112,763.0,Kidnapping,MISSING JUVENILE
113,772.0,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE FOR SALE
114,811.0,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY"
115,819.0,Sex Offences,"ORAL COPULATION, UNLAWFUL (ADULT VICTIM)"
116,830.0,Violence/Homicide,POSS OF PROHIBITED WEAPON
117,848.0,Violence/Homicide,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE"
118,864.0,Drug/Narcotics,POSSESSION OF HEROIN
119,865.0,Violence/Homicide,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE"
120,905.0,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE"
121,907.0,Violence/Homicide,"FIREARM, DISCHARGING AT OCCUPIED BLDG, VEHICLE, OR AIRCRAFT"
122,908.0,Drug/Narcotics,POSSESSION OF MARIJUANA FOR SALES
123,915.0,Larceny/Theft,"BURGLARY, VEHICLE (ARREST MADE)"
124,932.0,Sex Offences,SODOMY (ADULT VICTIM)
125,939.0,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
126,947.0,Sex Offences,FAILURE TO REGISTER AS SEX OFFENDER
127,948.0,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE
128,962.0,Violence/Homicide,ATTEMPTED HOMICIDE WITH A GUN
129,971.0,Larceny/Theft,ATTEMPTED ROBBERY WITH A GUN
130,1069.0,Violence/Homicide,"DISTURBING THE PEACE, COMMOTION"
131,1143.0,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN
132,1188.0,Drug/Narcotics,POSSESSION OF COCAINE
133,1233.0,Larceny/Theft,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM"
134,1311.0,Violence/Homicide,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION"
135,1314.0,Violence/Homicide,LOCATED EXPLOSIVE DEVICE
136,1339.0,Violence/Homicide,FIREARM WITH ALTERED IDENTIFICATION
137,1348.0,Violence/Homicide,VIOLATION OF RESTRICTIONS ON A FIREARM TRANSFER
138,1350.0,Violence/Homicide,TAMPERING WITH MARKS ON FIREARM
139,1352.0,Violence/Homicide,"AMMUNITION, POSS. BY PROHIBITED PERSON"
140,1354.0,Drug/Narcotics,POSSESSION OF COCAINE FOR SALES
141,1401.0,Larceny/Theft,"BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY"
142,1404.0,Violence/Homicide,ATTEMPTED HOMICIDE WITH A KNIFE
143,1424.0,Larceny/Theft,THEFT OF CHECKS OR CREDIT CARDS
144,1488.0,Larceny/Theft,STOLEN MISCELLANEOUS VEHICLE
145,1496.0,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE
146,1499.0,Larceny/Theft,ATTEMPTED THEFT FROM UNLOCKED VEHICLE
147,1519.0,Sex Offences,CHILD ABUSE SEXUAL
148,1520.0,Sex Offences,SODOMY
149,1549.0,Drug/Narcotics,SALE OF BASE/ROCK COCAINE
150,1576.0,Larceny/Theft,"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY"
151,1579.0,Larceny/Theft,"ROBBERY,  ATM, FORCE, ATT."
152,1648.0,Mental Health/Bullying,OBSCENE PHONE CALLS(S)
153,1654.0,Larceny/Theft,THEFT OF COMPUTERS OR CELL PHONES
154,1668.0,Violence/Homicide,ATTEMPTED HOMICIDE WITH BODILY FORCE
155,1670.0,Drug/Narcotics,POSSESSION OF HEROIN FOR SALES
156,1671.0,Drug/Narcotics,POSSESSION OF OPIATES FOR SALES
157,1675.0,Larceny/Theft,ATTEMPTED ROBBERY WITH BODILY FORCE
158,1699.0,Violence/Homicide,ASSAULT WITH CAUSTIC CHEMICALS
159,1737.0,Larceny/Theft,CARJACKING WITH A DANGEROUS WEAPON
160,1792.0,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY"
161,1852.0,Larceny/Theft,"BURGLARY OF FLAT, UNLAWFUL ENTRY"
162,1883.0,Kidnapping,CHILD STEALING
163,1911.0,Larceny/Theft,ROBBERY ON THE STREET WITH A KNIFE
164,1912.0,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON
165,1998.0,Larceny/Theft,PETTY THEFT WITH PRIOR
166,2085.0,Drug/Narcotics,POSSESSION OF METHADONE
167,2105.0,Violence/Homicide,"ASSAULT, AGGRAVATED, W/ GUN"
168,2197.0,Sex Offences,"CHILD ABUSE, PORNOGRAPHY"
169,2217.0,Violence/Homicide,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
170,2253.0,Drug/Narcotics,SALE OF COCAINE
171,2254.0,Drug/Narcotics,TRANSPORTATION OF COCAINE
172,2329.0,Larceny/Theft,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
173,2387.0,Larceny/Theft,"STOLEN ELECTRONICS, POSSESSION"
174,2402.0,Larceny/Theft,ROBBERY OF A BANK WITH BODILY FORCE
175,2437.0,Drug/Narcotics,CONSUMING ALCOHOL IN PUBLIC VIEW
176,2609.0,Sex Offences,ASSAULT TO RAPE WITH BODILY FORCE
177,2636.0,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A KNIFE
178,2716.0,Larceny/Theft,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER
179,2733.0,Violence/Homicide,ATTEMPTED SIMPLE ASSAULT
180,2758.0,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
181,2760.0,Violence/Homicide,"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE"
182,2769.0,Violence/Homicide,"DISTURBING THE PEACE, SWEARING"
183,3053.0,Larceny/Theft,"STOLEN CHECKS, POSSESSION"
184,3066.0,Drug/Narcotics,PLANTING/CULTIVATING MARIJUANA
185,3090.0,Larceny/Theft,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY"
186,3140.0,Kidnapping,KIDNAPPING DURING ROBBERY
187,3189.0,Larceny/Theft,"LOST PROPERTY, GRAND THEFT"
188,3208.0,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE
189,3250.0,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
190,3254.0,Kidnapping,"KIDNAPPING, ADULT VICTIM"
191,3288.0,Larceny/Theft,"STOLEN COMPUTER, POSSESSION"
192,3292.0,Drug/Narcotics,SALE OF CONTROLLED SUBSTANCE
193,3308.0,Violence/Homicide,PREJUDICE-BASED INCIDENT
194,3312.0,Violence/Homicide,DISCHARGE FIREARM AT AN INHABITED DWELLING
195,3365.0,Drug/Narcotics,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE
196,3393.0,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE
197,3411.0,Larceny/Theft,"BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY"
